م,اسم المنافسة,الجهة,الرقم المرجعي,مدة العقد,الشركة,المتبقي لإغلاق المنافسة,التصنيف,تاريخ النشر,تاريخ تسجيل الفرصة,تاريخ إغلاق المنافسة,نشاط المنافسة,مبلغ التقديم,شركة الترسية المشروع عليها,قيمة الترسية,,,,,,,,,,,,,,,,,,
371,المرحلة الثانية لمشروع المنصة الموحدة لاتمتة الخدمات لهيئة تطوير محمية الملك عبدالعزيز الملكية,محمية الملك عبدالعزيز,250239018964,24 شهر,شركة دروع البيانات,-221,لن يتم التقديم,05-Mar-25,19-Mar-25,13-Apr-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
372,دراسة جيولوجية وحصر للعيون والأفلاج النشطة والجافة في المملكة العربية السعودية,وزارة البيئة والمياه والزراعة,241239014172,23 شهر,حلول الأبعاد,-280,لن يتم التقديم,13-Jan-25,14-Jan-25,13-Feb-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
373,خدمات الضيافة في صندوق البيئة,صندوق البيئة,250139012716.00,3 سنة,السياحة,-274,لن يتم التقديم,05-Mar-25,05-Feb-25,19-Feb-25,أنشطة المطاعم وخدمات التموين,,,,,,,,,,,,,,,,,,,,,
374,توفير مركبات بنظام الإيجار لهيئة تطوير محمية الامام تركي بن عبدالله الملكية,محمية الإمام تركي بن عبدالله,241239010852,36 شهر,لوجستي,-291,لم يتم التقديم - لم يتم استلام العرض,01-Jan-25,01-Jan-25,02-Feb-25,تجارة السيارات والمعدات والماكينات,,,,,,,,,,,,,,,,,,,,,
375,نظام إدارة الهوية والوصول,وزارة الاستثمار,250139001331,1 سنة,شركة دروع البيانات,-296,لم يتم التقديم - لم يتم استلام العرض,12-Jan-25,14-Jan-25,28-Jan-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
376,"
تنظيم فعالية عيد الفطر المبارك 1446هـ - أمانة منطقة الباحة -",أمانة منطقة الباحة,250139013846,1 شهر,السياحة,-275,لن يتم التقديم,02-Feb-25,05-Feb-25,18-Feb-25,أنشطة المعارض والمؤتمرات,,,,,,,,,,,,,,,,,,,,,
377,توريد وتقديم الاعاشة المطهية مع التخديم لمهمة الحج لعام 1446هـ,الإدارة العامة للشؤون الإدارية والمالية,250139002088,11 يوم,السياحة,-275,لن يتم التقديم,02-Feb-25,05-Feb-25,18-Feb-25,تجارة المواد الغذائية,,,,,,,,,,,,,,,,,,,,,
378,عملية تأمين الإعاشة لموسم حج عام 1446هـ,أمارة منطقة مكة المكرمة,250139014614,9 يوم,السياحة,-275,لن يتم التقديم,02-Feb-25,05-Feb-25,18-Feb-25,أنشطة المطاعم وخدمات التموين,,,,,,,,,,,,,,,,,,,,,
379,تنفيذ فعاليات موسمية بمنطقة الباحة,وزارة البيئة والمياه والزراعة,250239007469,90 يوم,السياحة,-266,لن يتم التقديم,12-Jan-25,12-Jan-25,27-Feb-25,"الخدمات
أنشطة المعارض والمؤتمرات",,,,,,,,,,,,,,,,,,,,,
380,توفير أنظمة تقنية لموقع التعافي من الكوارث – المرحلة الثانية,بنك التصدير والإستيراد السعودي,250139002884,1 سنة,شركة دروع البيانات,-296,لم يتم التقديم - لم يتم استلام العرض,12-Jan-25,14-Jan-25,28-Jan-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
381,توريد وتركيب وتشغيل ملصة تقنية لأنمنة إجراءات إدارة البيانات وحوكمتها ومستودع البيانات,جامعة حائل,241239007090,3 سنة,شركة دروع البيانات,-293,لم يتم التقديم - لم يتم استلام العرض,31-Dec-24,06-Jan-25,31-Jan-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
382, تشغيل وصيانة محطة تنقية المياه الخامسة وجميع ملحقاتها بمحافظة المذنب,المؤسسة العامة لتحلية المياه المالحة,241239011950,3 سنة,شركة المصادر,-281,لم يتم التقديم - لم يتم استلام العرض,12-Jan-25,14-Jan-25,12-Feb-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
383,مشروع حفر بئر لغرض الري بمستشفى الملك عبد العزيز بالأحساء التابع للشؤون الصحية بوزارة الحرس الوطني منافسة ذات الإعلان رقم ( م ا ع / 1 / 2025 ),الشؤون الصحیة بوزارة الحرس الوطني,250239013502,120 يوم,المقاولات,-259,لم يتم التقديم - لم يتم استلام العرض,25-Feb-25,25-Feb-25,06-Mar-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
384,مشروع مكافحة القوارض الادارة العامة للمساحة العسكرية والمعلومات الجيومكانية للقوات المسلحة,رئاسة هيئة الأركان العامة,250239001029,180 يوم,البيطرة,-273,لم يتم التقديم - لم يتم استلام العرض,04-Feb-25,09-Feb-25,20-Feb-25,الخدمات البيئية,,,,,,,,,,,,,,,,,,,,,
385,تجهيز مواقع وتوريد وتركيب وتشغيل مولدات احتياطية لبعض مقرات الدفاع المدني لجميع مناطق المملكة (المرحلة الاولى),الدفاع المدني,250239002635,18 شهر,المقاولات,-228,لم يتم التقديم - لم يتم استلام العرض,20-Feb-25,25-Feb-25,06-Apr-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
386,توريد وتشغيل المختبرات المتنقلة,المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,250139010447,36 شهر,البيئة,-270,لن يتم التقديم,23-Jan-25,26-Jan-25,23-Feb-25,الخدمات البيئية,,,,,,,,,,,,,,,,,,,,,
387,برنامج ضيوف خادم الحرمين الشريفين لذوي الشهداء والأسرى والجرحى الفلسطينيين لعدد (1000) حاج لعام 1446هـ,وزارة الشـؤون الاسلامية والدعوة والارشاد,241139000108,6 شهر,السياحة,-243,لم يتم التقديم - لم يتم استلام العرض,19-Feb-25,04-Mar-25,22-Mar-25,أنشطة المعارض والمؤتمرات,,,,,,,,,,,,,,,,,,,,,
388,المعالجة المتكاملة لمشاكل انتشار الحيوانات السائبة في عدد من المتنزهات الوطنية,المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,250239000349,12 شهر,البيطرة,-260,لم يتم التقديم - لم يتم التعميد,02-Feb-25,02-Feb-25,05-Mar-25,الخدمات البيئية,,,,,,,,,,,,,,,,,,,,,
389,مشروع الامتثال وتطبيق معايير وضوابط البنية المؤسسية الوطنية وتعزيز مفهوم الابتكار,هيئة النقل العام,250339010790,12 شهر,شركة دروع البيانات,-221,لن يتم التقديم,18-Mar-25,19-Mar-25,13-Apr-25, تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
390,اعداد الدراسات البيئية لمحطات تصريف مياه في مدينة جازان,أمانة منطقة جازان,250239011156,120 يوم,الاستدامة,-259,لم يتم التقديم - لم يتم التعميد,18-Feb-25,18-Feb-25,06-Mar-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
391,مشروع دراسة حالة الآبار وملحقاتها بمحمية الملك خالد الملكية,محمية الإمام عبدالعزيز بن محمد,250139004273,6 شهر,حلول الأبعاد,-294,لم يتم التقديم - لم يتم استلام العرض,14-Jan-25,14-Jan-25,30-Jan-25,"الأنشطة الاستشارية الأخرى
انشطة الاستشارات الهندسية - تصميم",,,,,,,,,,,,,,,,,,,,,
392,مشروع تأمين وسائل سلامة لادارة السلامة والصحة المهنية بفرع الجامعة برابغ,جامعة الملك عبدالعزيز,250139008800,1 سنة,لوجستي,-267,لم يتم التقديم - لم يتم استلام العرض,26-Jan-25,30-Jan-25,26-Feb-25,تجارة السيارات والمعدات والماكينات,,,,,,,,,,,,,,,,,,,,,
393,توريد مياه آبار الري الى خزانات مياه مقرات مجمع الديوان الملكي بمدينة (الرياض) عن طريق الصهاريج,المؤسسة العامة للري,241239012049,24 شهر,شركة المصادر,-299,لن يتم التقديم,25-Dec-24,25-Dec-24,25-Jan-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
394,"تقديم الخدمات الاستشارية لمشروع إنشاء محطة تنقية مياه شروره بسعة (25,000 م3/يوم) ومحطة تنقية بالوديعة بسعة (5,000 م3/يوم)",المؤسسة العامة لتحلية المياه المالحة,250239013489,12 شهر,شركة المصادر,-252,لم يتم التقديم - لم يتم استلام العرض,25-Feb-25,26-Feb-25,13-Mar-25,انشطة الاستشارات الهندسية- اشراف,,,,,,,,,,,,,,,,,,,,,
395,تقديم خدمات الدعم لأعمال الرقابة والتفتيش في الصحة النباتية والحيوانية لجميع مناطق المملكة,المركز الوطني للوقاية من الآفات والامراض الحيوانية ومكافحتها,241239005413,36 شهر,البيئة,-311,الملغاة,12-Dec-24,12-Dec-24,13-Jan-25,الأنشطة الاستشارية الأخرى,"27,532,916",,,,,,,,,,,,,,,,,,,,
396,تقديم دراسة لتحليل مخاطر الصحة النباتية,المركز الوطني للوقاية من الآفات والامراض الحيوانية ومكافحتها,250139006147,30 شهر,البيئة,-277,تم التقديم - فتح العروض الفنية,16-Jan-25,20-Jan-25,16-Feb-25,الخدمات البيئية,"12,389,525.00",,,,,,,,,,,,,,,,,,,,
397,تأهيل الحزام الأخضر في وادي الدواسر,المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,241139014902,36 شهر,البيئة,-322,لم يتم الترسية,02-Dec-24,02-Dec-24,02-Jan-25,الخدمات البيئية,"19,700,075.00",شركة العاذرية المحدودة للتجارة شركة شخص واحد,12808125,,,,,,,,,,,,,,,,,,
398,صيانة المسطحات الخضراء والآبار الارتوازية بسلوى,أمانة محافظة الأحساء,250139001817,36 شهر,البيئة,-281,لم يتم التقديم - لم يتم استلام العرض,12-Jan-25,14-Jan-25,12-Feb-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
399,مشروع مكافحة آفات الصحة العامة بالمدينة الجامعية,جامعة القصيم,250139001420,365 يوم,البيطرة,-302,لن يتم التقديم,06-Jan-25,06-Jan-25,22-Jan-25,,,,,,,,,,,,,,,,,,,,,,
400,توريد وتركيب أجهزة لمختبر التحاليل برابغ,المؤسسة العامة لتحلية المياه المالحة,250139002496,6 شهر,البيطرة,-281,لن يتم التقديم,12-Jan-25,14-Jan-25,12-Feb-25,تجارة الأدوات والآلات والأجهزة,,,,,,,,,,,,,,,,,,,,,
401,تنفيذ أعمال زراعية بالمديرية العامة لحرس الحدود بالبرشاعة,حرس الحدود,241239009044,6 شهر,البيئة,-316,لن يتم التقديم,22-Dec-24,22-Dec-24,08-Jan-25,تجارة الحاصلات الزراعية,,,,,,,,,,,,,,,,,,,,,
402,تقديم خدمات العناية للوسائل الحية بمنطقة الرياض,المباحث العامة,241239004535,5 سنة,البيئة,-312,لم يتم الترسية,10-Dec-24,10-Dec-24,12-Jan-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)
أنشطة التدوير وجمع النفايات ومعالجتها وتصريفها واسترجاع المواد
التعدين
إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء
أنشطة زراعية
أنشطة الأمن و السلامة
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة","17,740,866.00",مؤسسة الحياة والحيوان للتجارة,7594418.52,,,,,,,,,,,,,,,,,,
403,تشغيل وصيانة المزروعات والحدائق بنطاق بلدية الشفا والعزيزية والحائر بمدينة الرياض,أمانة منطقة الرياض,241239002925,3 سنة,البيئة,-282,لن يتم التقديم,26-Jan-25,27-Jan-25,11-Feb-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
404,مطهرات ومستلزمات امن حيوي لمركز الملك خالد لابحاث الحياة الفطرية بالرياض,المركز الوطني لتنمية الحياة الفطرية,250239001017,1 شهر,البيطرة,-277,لن يتم التقديم,04-Feb-25,05-Feb-25,16-Feb-25,أنشطة بيطرية,,,,,,,,,,,,,,,,,,,,,
405,التشغيل الجزئي وصيانة الأجهزة والمعدات والآلات المركزية وأجهزة معمل الأبحاث,جامعة الملك عبدالعزيز,240839015801,3 سنة,البيطرة,-256,لن يتم التقديم,02-Feb-25,09-Feb-25,09-Mar-25,خدمات صيانة واصلاح الأجهزة والمعدات والآلات,,,,,,,,,,,,,,,,,,,,,
406,تشغيل وصيانة المزروعات والحدائق بنطاق بلدية العليا بمدينة الرياض,أمانة منطقة الرياض,241239002927,3 سنة,البيئة,-267,لن يتم التقديم,26-Jan-25,27-Jan-25,26-Feb-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
407,منافسة توريد وتركيب واختبار الأجهزة المتعلقة بأنظمة حفظ الحيوانات الطبية بالإضافة إلى أجهزة الفحص والمعاينة الخاصة بالكائنات الحية المستخدمة في البحوث الطبية لمختبرات مستوى السلامة الحيوية الثالث والتدريب عليها بمركز الملك عبد الله العالمي للأبحاث الطبية بجامعة الملك سعود بن عبد العزيز للعلوم الصحية التابعة لوزارة الحرس الوطني بالرياض ذات الإعلان رقم كاساو/2025/008,جامعة الملك سعود بن عبد العزیز للعلوم الصحیة,250239001919,5 سنة,البيطرة,-269,لن يتم التقديم,08-Feb-25,10-Feb-25,24-Feb-25,"الرعاية الصحية والأدوية
الأنشطة الطبية
أنشطة بيطرية",,,,,,,,,,,,,,,,,,,,,
408,تشغيل وصيانة المزروعات والحدائق بنطاق بلدية عرقة بمدينة الرياض,أمانة منطقة الرياض,241239002930,3 سنة,البيئة,-266,لم يتم التقديم - لم يتم استلام العرض,27-Jan-25,28-Jan-25,27-Feb-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
409,مشروع تأهيل حدائق بجنوب مدينة الخبر,أمانة المنطقة الشرقية,250139009126,12 شهر,البيئة,-266,لم يتم التقديم - لم يتم استلام العرض,27-Jan-25,28-Jan-25,27-Feb-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
410,مشروع تأهيل حدائق بشمال مدينة الخبر,أمانة المنطقة الشرقية,250139009116,12 شهر,البيئة,-266,لم يتم التقديم - لم يتم استلام العرض,27-Jan-25,28-Jan-25,27-Feb-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
411,تشغيل وصيانة المعدات وخطوط إنتاج الشتلات,المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,241039010329,60 شهر,البيئة,-249,الملغاة,12-Jan-25,14-Jan-25,16-Mar-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,"207,205,033.17",,,,,,,,,,,,,,,,,,,,
412,توريد أطواق تتبع لبرنامج إطلاقات الحياة الفطرية في محمية الملك سلمان بن عبد العزيز الملكية لعام 2025,محمية الملك سلمان بن عبدالعزيز,250139000570,12 شهر,حلول الأبعاد,-304,تم الترسية,04-Jan-25,06-Jan-25,20-Jan-25,تجارة الأدوات والآلات والأجهزة,"1,267,731.25",,,,,,,,,,,,,,,,,,,,
413,تشغيل وصيانة محطات اكثار البذور والتقاوي والشتلات,وزارة البيئة والمياه والزراعة,241239010106,36 شهر,البيئة,-301,لم يتم التقديم - لم يتم استلام العرض,23-Dec-24,23-Dec-24,23-Jan-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
414,إنشاء مشتل جامعة جازان,جامعة جازان,241239007115,30 يوم,البيئة,-310,لن يتم التقديم,29-Dec-24,29-Dec-24,14-Jan-25,إنشاء صوب ومشاتل - أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
415,توريد وزراعة أشجار وانجيله بمواقع الجامعة,جامعة جازان,241239011546,60 يوم,البيئة,-309,لم يتم التقديم - لم يتم استلام العرض,30-Dec-24,30-Dec-24,15-Jan-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
416,تشغيل وصيانة وزراعة ونظافة لنادي منسوبي وزارة الداخلية بنجران,الإدارة العامة لأندية منسوبي وزارة الداخلية,250139000689,3 سنة,البيئة,-272,لن يتم التقديم,21-Jan-25,30-Jan-25,21-Feb-25,لتشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
417,تشغيل وصيانة وزراعة ونظافة لنادي منسوبي وزارة الداخلية بمكة المكرمة,لإدارة العامة لأندية منسوبي وزارة الداخلية,250139009117,3 سنة,البيئة,-255,لم يتم التقديم - لم يتم استلام العرض,26-Jan-25,30-Jan-25,10-Mar-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
418,تشغيل وصيانة المزروعات والحدائق بنطاق بلدية الروضة بمدينة الرياض,أمانة منطقة الرياض,241239002919,3 سنة,البيئة,-266,لم يتم التقديم - لم يتم استلام العرض,27-Jan-25,30-Jan-25,27-Feb-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
419,تشغيل وصيانة وزراعة ونظافة لنادي منسوبي وزارة الداخلية بجازان,لإدارة العامة لأندية منسوبي وزارة الداخلية,250139000692,3 سنة,البيئة,-265,لم يتم التقديم - لم يتم استلام العرض,23-Jan-25,30-Jan-25,28-Feb-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
420,تشغيل وصيانة وزراعة ونظافة لنادي منسوبي وزارة الداخلية بعرعر,لإدارة العامة لأندية منسوبي وزارة الداخلية,250139000691,3 سنة,البيئة,-260,لن يتم التقديم,23-Jan-25,30-Jan-25,05-Mar-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
421,نظام رصد مستويات الضوضاء و التلوث الضوئي,المركز الوطني للرقابة على الالتزام البيئي,241239011064,18 شهر,شركة دروع البيانات,-300,لم يتم التقديم - لم يتم استلام العرض,24-Dec-24,24-Dec-24,24-Jan-25,أنشطة المعارض والمؤتمرات,,,,,,,,,,,,,,,,,,,,,
422,صيانة ورعاية النخيل بكلية الملك عبد العزيز الحربية,القوات البرية,250239001977,12 شهر,البيئة,-272,لم يتم الترسية,05-Feb-25,05-Feb-25,21-Feb-25,أنشطة زراعية,"3,785,800",مؤسسة رين نايف محمد الشهراني للمقاولات العامة,198950,,,,,,,,,,,,,,,,,,
423,خدمات الإقامة والاعاشة للأعمال الميدانية (اتفاقية إطارية),المؤسسة العامة للمحافظة على الشعب المرجانية والسلاحف في البحر الأحمر,250339005583,1 سنة,شركة سلسال,-227,لم يتم التقديم - لم يتم استلام العرض,16-Mar-25,16-Mar-25,07-Apr-25,أنشطة سياحية,,,,,,,,,,,,,,,,,,,,,
424,تقديم الدراسات لتطوير تقنيات مبتكرة لخطوط انتاج الطحالب في المملكة العربية السعودية,البرنامج الوطني لتطوير قطاع الثروة الحيوانية والسم,250239018668,2 سنة,البيئة,-227,الملغاة,27-Feb-25,01-Mar-25,07-Apr-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
425,Water and Toxic algae quality Analysis,Sail,لايوجد,2 سنة,البيئة,-248,تم التقديم,03-Feb-25,03-Mar-25,17-Mar-25,بيئة,"11,119,598.40",,,,,,,,,,,,,,,,,,,,
426,توفير الدعم الفني والتحسينات على نظام إدارة الموارد المؤسسية في الهيئة السعودية للسياحة,الهيئة السعودية للسياحة,241239001905,2 سنة,شركة دروع البيانات,-310,لن يتم التقديم,04-Dec-24,04-Dec-24,14-Jan-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
427,مشروع معالجة بلاغات 940 شرق مدينة حائل,أمانة منطقة حائل,241139018180,36 شهر,شركة دروع البيانات,-321,فرص انتهى وقت التقديم لها,02-Dec-24,02-Dec-24,03-Jan-25,,,,,,,,,,,,,,,,,,,,,,
428,مشروع دراسة تأثير إدخال التقنيات الحديثة في نظام التبريد بالتبخير على كفاءة التبريد في المناطق الرطبة للمركز الوطني لأبحاث وتطوير الزراعة المستدامة(استدامه),المركز الوطني لابحاث وتطوير الزراعة المستدامة,241239000151,2 سنة,شركة دروع البيانات,-321,فرص انتهى وقت التقديم لها,02-Dec-24,02-Dec-24,03-Jan-25,,,,,,,,,,,,,,,,,,,,,,
429,تقديم خدمات المراقبة الأمنية المدارة والمؤشرات الاستباقية للتهديدات,محمية الملك عبدالعزيز,250139000967,1 سنة,شركة دروع البيانات,-301,فرص انتهى وقت التقديم لها,07-Jan-25,07-Jan-25,23-Jan-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
430,صيانة وتشغيل أجهزة مختبرات الهيئة العامة للغذاء و الدواء,الهيئة العامة للغذاء والدواء,241139014993,120 يوم,شركة دروع البيانات,-295,فرص انتهى وقت التقديم لها,13-Jan-25,14-Jan-25,29-Jan-25,تجارة الأدوات والآلات والأجهزة,,,,,,,,,,,,,,,,,,,,,
431,التنفيذ والمشاركة في أعمل الإدارة العامة للمراجعة الداخلية,هيئة تطوير منطقة عسير,250139004408,1 سنة,شركة دروع البيانات,-295,فرص انتهى وقت التقديم لها,13-Jan-25,14-Jan-25,29-Jan-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
432,ترقية نظام مراقبة الشبكات وأجهزة البنية التحتية,الهيئة السعودية للمياه,250139011092,3 شهر,شركة دروع البيانات,-281,لن يتم التقديم,27-Jan-25,27-Jan-25,12-Feb-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
433,التدقيق الخارجي على نظام ادارة الجودة iso9001:2015 لإدارة التشغيل والصيانة بقاعدة الملك سلمان للإسناد البحري (المرحلة الاولى),القوات البحرية,250139012345,45 يوم,شركة دروع البيانات,-285,لن يتم التقديم,28-Jan-25,30-Jan-25,08-Feb-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
434,تقديم خدمة اختبار الاختراق للمركز السعودي للشراكات الاستراتيجية الدولية,المركز السعودي للشراكات الاستراتيجية الدولية,250139008040,20 أسبوع,شركة دروع البيانات,-283,لن يتم التقديم,21-Jan-25,30-Jan-25,10-Feb-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
435,تنفيذ دورات وورش عمل تدريبية صحية لمنسوبي ومنسوبات هيئة الهلال الأحمر السعودي,هيئة الهلال الأحمر السعودي,250339008014,6 شهر,المعهد,-233,لم يتم التقديم,16-Mar-25,19-Mar-25,01-Apr-25,أنشطة التدريب,,,,,,,,,,,,,,,,,,,,,
436,تقديم خدمات حلول أدوات المراقبة واصطياد التهديدات والمعلومات الاستباقية,صندوق التنمية الثقافي,250139013692,36 شهر,شركة دروع البيانات,-273,لن يتم التقديم,04-Feb-25,06-Feb-25,20-Feb-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
437,توريد وتركيب متطلبات الامن السيبراني لانظمة تشفير البيانات,جامعة جازان,241239012149,2 شهر,شركة دروع البيانات,-277,لن يتم التقديم,16-Jan-25,06-Feb-25,16-Feb-25,توريد وتركيب,,,,,,,,,,,,,,,,,,,,,
438,توريد وتركيب وتشغيل أجهزة التتبع للكائنات الفطرية ( المرحلة الثانية),محمية الملك عبدالعزيز,250339001494,36 شهر,البيئة,-224,لم يتم الترسية,05-Mar-25,06-Mar-25,10-Apr-25,الخدمات البيئية,"5,784,500.00",شركة خدمات الحلول المتقدمة للاتصالات,1003795.9,,,,,,,,,,,,,,,,,,
439,تنفيذ أعمال تصنيع وتعبئة وتغليف قطع التمر بالمنطقة الشرقية,المركز الوطني للنخيل و التمور,250139008841,24 شهر,شركة دروع البيانات,-268,لن يتم التقديم,06-Feb-25,09-Feb-25,25-Feb-25,صُنع المنتجات الغذائية,,,,,,,,,,,,,,,,,,,,,
440,مشروع تحديث نظام التحكم المركزي(SCADA) لمحطات تنقية حفر الباطن و النعيرية,"المؤسسة العامة لتحلية المياه المالحة
",241039017475,1 سنة,شركة دروع البيانات,-253,لن يتم التقديم,09-Feb-25,10-Feb-25,12-Mar-25,تجارة المواد الغذائية,,,,,,,,,,,,,,,,,,,,,
441,خدمات دعم الاعمال للبيانات التشغيلية وتقنيات وتطبيقات الذكاء الاصطناعي,المؤسسة العامة لتحلية المياه المالحة,241239002880,1 سنة,شركة دروع البيانات,-267,لن يتم التقديم,10-Feb-25,10-Feb-25,26-Feb-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
442,تقديم خدمة مركز الاتصال في المركز الوطني للنخيل والتمور,المركز الوطني للنخيل و التمور,250239006556,12 شهر,شركة دروع البيانات,-267,لن يتم التقديم,10-Feb-25,10-Feb-25,26-Feb-25,"تقنية المعلومات
الإتصالات",,,,,,,,,,,,,,,,,,,,,
443,الخدمات المدارة والدعم الفني للبنية التحتية لتقنية المعلومات ولمنصة اداء المتكاملة,المركز الوطني لقياس أداء الأجهزة العامة,250239005902,1 سنة,شركة دروع البيانات,-262,لن يتم التقديم,12-Jan-25,12-Jan-25,03-Mar-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
444,مشروع تطوير الخطة الاستراتيجية والتشغيلية للأعوام 2026 – 2030,محمية الملك سلمان بن عبدالعزيز,250339008854,24 شهر,حلول الأبعاد,-218,لم يتم التقديم - لم يتم استلام العرض,16-Mar-25,18-Mar-25,16-Apr-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
445,مشروع متطلبات الحصول على التصريح البيئي بمستشفى الملك فهد العام بجدة وملحقاته,أدارة الموارد الذاتية بصحة جدة,250139003450,1 شهر,الاستدامة,-308,تم التقديم,09-Jan-25,12-Jan-25,16-Jan-25,الخدمات البيئية,"305,900.00",,,,,,,,,,,,,,,,,,,,
446,تنفيذ برامج تدريبية مبني على الجدارات السلوكية (الأساسية – القيادية),هيئة الرقابة النووية والإشعاعية,250339006829,12 شهر,المعهد,-226,لم يتم التقديم,12-Mar-25,19-Mar-25,08-Apr-25, أنشطة التدريب,,,,,,,,,,,,,,,,,,,,,
447,مشروع تحسين إجراءات عمل النظام الأكاديمي,الجامعة السعودية الالكترونية ,250339008067,3 سنة,شركة دروع البيانات,-221,لن يتم التقديم,18-Mar-25,19-Mar-25,13-Apr-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
448,الخدمات الإستشارية للأمن السيبراني,المركز الوطني للرقابة على الالتزام البيئي,250339003044,1 سنة,شركة دروع البيانات,-242,لم يتم التقديم - لم يتم استلام العرض,05-Mar-25,09-Mar-25,23-Mar-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
449,اتفاقية إطارية لتنفيذ خطة التدريب لعام 2025,وكالة الفضاء السعودية,250239002055,12 شهر,المعهد,-273,لن يتم التقديم,04-Feb-25,05-Feb-25,20-Feb-25,أنشطة التدريب,,,,,,,,,,,,,,,,,,,,,
450,مشروع المسح الموسّع لدراسة الوضع الوبائي لحمى الضنك بمناطق المملكة العربية السعودية,هيئة الصحة العامة,250339011312,12 شهر,البيئة,-227,لن يتم التقديم,17-Mar-25,19-Mar-25,07-Apr-25,انشطة الاستشارات الادارية,,,,,,,,,,,,,,,,,,,,,
451,إعداد دراسة الأثر البيئي بمحافظة البدائع,بلدية محافظة البدائع,250139012037,60 يوم,الاستدامة,-280,الملغاة,28-Jan-25,28-Jan-25,13-Feb-25,انشطة الاستشارات الهندسية - تصميم,"69,840",,,,,,,,,,,,,,,,,,,,
452,تشغيل وصيانة المزروعات والحدائق بنطاق بلدية الشميسي بمدينة الرياض,أمانة منطقة الرياض,250239004124,3 سنة,المقاولات,-223,لن يتم التقديم,11-Mar-25,12-Mar-25,11-Apr-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
453,استهلاك مياه (توريد مياه لري المزروعات ),بلدية محافظة تثليث,250339005998,90 يوم,لوجستي,-239,لن يتم التقديم,10-Mar-25,12-Mar-25,26-Mar-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
